legacy_id,centre,d,cluster,id,name,latitude,longitude,type,type_norm
170505,0,18.001880283622,94,12032,"Rua Antônio Sarote, 35 - Tatuquara",-25.560577856179002,-49.314517943917,Chapéu chinês,Street bus stop
170506,1,0.0,94,12033,"Rua Antônio Sarote, 2 - Tatuquara",-25.56073271689,-49.314579634724,Chapéu chinês,Street bus stop
170911,0,168.249895774135,94,12255,"Rua Mateus Luís Dalagassa, 188 - Tatuquara",-25.559856212619,-49.316187947989,Chapéu chinês,Street bus stop
170912,0,169.7519444911,94,12256,"Rua Mateus Luís Dalagassa, 187 - Tatuquara",-25.559770312715,-49.316124916077,Sem demarcação,Street bus stop
170913,0,345.674044876402,94,12257,"Rua Mateus Luís Dalagassa, 442 - Tatuquara",-25.559433971652,-49.318262636662,Chapéu chinês,Street bus stop
170914,0,346.754748954584,94,12258,"Rua Mateus Luís Dalagassa, 443 - Tatuquara",-25.559346861583,-49.318222403526,Sem demarcação,Street bus stop
170915,0,464.204543412383,94,12259,"R. Ricardo Eugênio Graeser, 171 - Tatuquara",-25.557718375569,-49.318345785141,Chapéu chinês,Street bus stop
170916,0,451.586798694585,94,12260,"Rua Ricardo Eugenio Graeser Ronchi, 158 - Tatuquara",-25.55767361004,-49.31806281209,Placa em cano,Street bus stop
170932,0,467.59233920787,94,12271,"Rua Roberto Osório de Almeida, 68 - Cidade Industrial",-25.556646418015,-49.315874129534,Chapéu chinês,Street bus stop
180172,0,539.941855494938,95,12563,"R. João Dembinski, 1811 - Cidade Industrial",-25.465167224798005,-49.345067341470006,Novo mobiliário,Street bus stop
180173,0,561.620905458498,95,12564,"R. João Dembinski, 1792 - Cidade Industrial",-25.465363376178,-49.345147807741,Novo mobiliário,Street bus stop
180174,0,312.848148022187,95,12565,"R. João Dembinski, 1597 - Cidade Industrial",-25.463116081435,-49.345543037442,Novo mobiliário,Street bus stop
180175,0,275.272914046543,95,12566,"R. João Dembinski, 1532 - Cidade Industrial",-25.462757674447,-49.345736156491,Novo mobiliário,Street bus stop
180176,0,51.701754300838,95,12567,"Rua João Dembinski, 700 - Cidade Industrial",-25.459847999826,-49.345226536778,Novo mobiliário,Street bus stop
180177,1,0.0,95,12568,"Rua João Dembinski, 1352 - Cidade Industrial",-25.46031297128,-49.345227877883,Novo mobiliário,Street bus stop
180178,0,267.521316951294,95,12569,"Rua João Dembinski, 1119 - Cidade Industrial",-25.458196367949,-49.346719186095,Novo mobiliário,Street bus stop
180179,0,304.16704675916,95,12570,"Rua João Dembinski, 1340 - Cidade Industrial",-25.458001415769,-49.347134928492,Novo mobiliário,Street bus stop
180214,0,578.009760818253,95,12605,"Rua João Dembinski, 701 - Cidade Industrial",-25.455608685041,-49.348111252574,Novo mobiliário,Street bus stop
180215,0,560.222864329522,95,12606,"Rua João Dembinski, 802 - Cidade Industrial",-25.455783055689,-49.348103205947,Novo mobiliário,Street bus stop
180260,0,549.593051344005,95,12651,"Rua Casemiro Mitczuk, 377 - Cidade Industrial",-25.459548780073003,-49.351594777053,Chapéu chinês,Street bus stop
180261,0,412.162833054854,95,12652,"Rua Casemiro Mitczuk, 136 - Cidade Industrial",-25.458308844330002,-49.349293441719,Chapéu chinês,Street bus stop
